CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
15390;PELUCIA PARA GATO MINI MARCIANO COM CAT NIP TEX 1257;2,99;5,99;100,33;
17389;PELUCIA PARA GATO MINI PINGUIM COM CAT NIP TEX 1273;3,59;6,99;94,71;
15389;PELUCIA PARA GATO MINI ZOO COM CAT NIP TEX 1255;5,99;9,99;66,78;
5567;PELUCIA PATO FANTASIA;12,35;20;0;
6519;PELUCIA PATO REF.TY-039;20,9;33;0;
6521;PELUCIA PATO REF.TY-041;16,9;27;0;
15384;PELUCIA PATO VOADOR TEX 1087;14,99;26,99;80,05;
14656;PELUCIA PEIXE LARANJA BRILHANTE;20,13;33,6;66,92;
14902;PELUCIA PINGUIM PATO AMARELO 23 CM COD 1091;18,99;31;63,24;
13977;PELUCIA POLVO ARCO IRIS DO HUMOR;14;22,4;60;
13284;PELUCIA POLVO COLORIDO;15,11;24,5;62,14;
17393;PELUCIA POLVO COLORIDO 13CM TEX 1279;10,33;18,99;83,83;
16934;PELUCIA POLVO FELIZ 13CM TEX 1280;10,69;19,99;87;
14849;PELUCIA POLVO ROXO BRILHANTE;20,13;33,5;66,42;
17404;PELUCIA RAPOSINHA COD 10863;9,99;15,99;60,06;
5718;PELUCIA RATO POCOTO;10,63;17,5;0;
16722;PELUCIA RATON;14,59;23,99;64,43;
5569;PELUCIA SAPO CORDA;5,13;8,25;0;
9767;PELUCIA SAPO TOYS;14,98;24;60,21;
13283;PELUCIA TARTARUGA;15,11;25,5;68,76;
16188;PELUCIA TARTARUGA 16CM TEX 1069;9,49;21,99;131,72;
16720;PELUCIA TIGRE;14;23,99;71,36;
9768;PELUCIA TIGRE TOYS;14,98;24;60,21;
9130;PELUCIA TIGRE TOYS;14,98;24;0;
2850;PELUCIA TIGRINHO NOVA PET;7,11;11,3;0;
9047;PELUCIA TOMATE;10,25;16,4;0;
6598;PELUCIA URSINHO;6,8;11;0;
16719;PELUCIA URSO;14,99;29,99;100,07;
2853;PELUCIA VAQUINHA NOVA PET;7,11;11,3;0;
16942;PELUCIA VAQUINHA ROXA 17CM TEX 1101;14,99;24,99;66,71;
476;PENAVIAR 30GR;8,86;14,3;61,4;
3325;PENCIVET PLUS PPU 30ML;13,42;21,6;0;
8908;PENEIRA AREIA 55 SAO JORGE;16,01;24,99;56,09;
6271;PENEIRA AREIA 55CM;10,9;17;0;
12553;PENEIRA ARROZ 50 SAO JORGE;15,42;24,7;60,18;
7712;PENEIRA ARROZ 55;15;22,5;0;
8910;PENEIRA CAFE 55 SAO JORGE;16,87;25,99;54,06;
1296;PENEIRA CAFE 70;21,9;31;0;
8909;PENEIRA FEIJAO 50 M M;9,85;16;0;
10487;PENEIRA FEIJAO 50 SAO JORGE;15,42;24,7;60,18;
7713;PENEIRA FEIJAO 55;14;22,5;0;
2121;PENEIRA FEIJAO 55;10,9;17;0;
14069;PENEIRA FEIJAO 55 SAO JORGE;16,19;24,99;54,35;
8911;PENEIRA FUBA 25 SAO JORGE;8,19;12,5;52,63;
1295;PENEIRA FUBA 30;6,4;10;0;
10186;PENEIRA FUBA 30 A E A;6,03;9,7;60,86;
10192;PENEIRA FUBA 30 MM;7,04;11,5;63,35;
10488;PENEIRA FUBA 30 SAO JORGE;10,11;15,5;53,31;
13204;PENEIRA FUBA 35 SAO JORGE;11,05;18,1;63,8;
8907;PENEIRA FUBA 50 SAO JORGE;13,535;21;0;
3326;PENEIRA FUBA 55;14,26;20;0;
2888;PENEIRA METALICA P/PISCINA;21;33,6;60;
3710;PENEIRA P/COADOR DE LEITE;0,94;2;0;
3562;PENEIRA PLASTICA ARROZ 55;6,61;9,5;0;
3561;PENEIRA PLASTICA FEIJAO 55;6,61;9,5;0;
4039;PENEIRA PLASTICA P PISCINA;18,98;30,5;60,7;
1326;PENEIRA PLASTICA PLUS NETUNO;8,58;13,75;0;
2213;PENTABIOTICO VETERINARIO 3,4GR;5,87;9,1;0;
